Rebounds,Assisst,Turnovers,Steals,Blocks,Personal Fouls,Points,Position,General Position
Arron Afflalo,3.7,2,1.2,0.4,0.1,2,12.8,Guard Forward,Guard
Axel Toupane,1.5,0.7,0.3,0.3,0.3,1.9,3.6,Guard Forward,Guard
Bojan Bogdanovic,3.2,1.3,1.5,0.4,0.1,1.5,11.2,Guard Forward,Guard
Brandon Rush,2.5,0.8,0.5,0.3,0.3,0.8,4.2,Guard Forward,Guard
C.J. Miles,2.7,1,1.1,0.8,0.5,2.2,11.8,Guard Forward,Guard
Chase Budinger,2.3,1,0.7,0.5,0.2,0.9,4.1,Guard Forward,Guard
Chris Johnson,1.9,0.6,0.6,0.5,0.3,1.4,2.9,Guard Forward,Guard
Corey Brewer,2.4,1.3,1,1,0.2,2,7.2,Guard Forward,Guard
Courtney Lee,2.6,1.7,0.9,1.1,0.4,1.7,9.6,Guard Forward,Guard
Dahntay Jones,5,2,0,1,2,6,13,Guard Forward,Guard
Damjan Rudez,0.6,0.3,0.4,0.1,0,1,2.3,Guard Forward,Guard
Danny Green,3.8,1.8,0.9,1,0.8,1.8,7.2,Guard Forward,Guard
DeMar DeRozan,4.5,4,2.2,1,0.3,2.1,23.5,Guard Forward,Guard
Devyn Marble,1.4,0.4,0.3,0.5,0,0.9,2.1,Guard Forward,Guard
Dion Waiters,2.6,2,1.5,1,0.2,1.8,9.8,Guard Forward,Guard
Elijah Millsap,1.8,1,0.5,0.4,0.2,1.7,1.8,Guard Forward,Guard
Evan Fournier,2.8,2.7,1.7,1.2,0,2.7,15.4,Guard Forward,Guard
Evan Turner,4.9,4.4,2.1,1,0.3,1.7,10.5,Guard Forward,Guard
Gary Harris,2.9,1.9,1.3,1.3,0.2,1.9,12.3,Guard Forward,Guard
Gerald Green,2.4,0.8,0.7,0.5,0.3,1.8,8.9,Guard Forward,Guard
Gerald Henderson,2.9,1,0.9,0.5,0.3,1.2,8.7,Guard Forward,Guard
